willing_for_participation,,,role_in_conference,result_after_hearing_Education_Keynote,panel_attended,pannel_attended_all_apply,"Please explain more, if you choose ""None of the above"" for the previous question.",knowledge_increase,"desire_for_collaboration 
",Grant_Application_Intent,Volunteering _in_community,involving_panelists_ community,Well_representation_of_Diverse panelists,Well_representation_of_Multiple_service_models,committed_to_being_engaged_in_community,Learnings_from_LUD,Inspired_for_being_more_socially_committed_responsible,experience_with_networking_with_other_LUD_participants_or_speakers,conference_improovement,comments_or_suggestions
"Yes, I am happy to participate in this survey",,,Community Social Service Provider/NGO,Planning to seek information about ways to become more socially engaged in my community,Storytellers of Change: Scripting A Resilient Story For Tomorrow,Storytellers of Change: Scripting A Resilient Story For Tomorrow,,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Networking and inspiring others for the cause.,To find potentials within and without. ,Quite positive and inspiring ,More networks and knowledge ,Aa of now it's good
"Yes, I am happy to participate in this survey",,,Student,Planning to seek information about ways to become more socially engaged in my community,"Equalized: Embrace Diversity, Empower Minds in Education","Equalized: Embrace Diversity, Empower Minds in Education",,Strongly agree,Agree,Agree,Neutral,Strongly agree,Strongly agree,,Agree,We can change our approach to learning through innovative ideas,Yes as I am planning to be involved in social work more than often,Very approachable,More of activity sessions if possible ,None
"Yes, I am happy to participate in this survey",,,Student,Planning to seek information about ways to become more socially engaged in my community,"Re-Imagining Global Education Policies, Reforms and Innovations, Storytellers of Change: Scripting A Resilient Story For Tomorrow","Re-Imagining Global Education Policies, Reforms and Innovations, Storytellers of Change: Scripting A Resilient Story For Tomorrow",,Agree,Neutral,Neutral,Strongly disagree,Not applicable,Neutral,Neutral,Agree,How we can give an opportunity to underprivileged people through helping them to achieve their dream ,"I'm not sure, but yes will definitely try to help people who are in need. So that they can achieve their dream",It was inspiring.,To include unique and innovative kind of speakers who can answer the question which is being asked ,No
"Yes, I am happy to participate in this survey",,,Community Social Service Provider/NGO,More strongly committed to my specific community service organization,"Re-Imagining Global Education Policies, Reforms and Innovations, Storytellers of Change: Scripting A Resilient Story For Tomorrow","Re-Imagining Global Education Policies, Reforms and Innovations, Storytellers of Change: Scripting A Resilient Story For Tomorrow",,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Rethinking Education in the current era,"Yes, reaching out to the vulnerable communities. Listening to the voices of students also",Wonderful meeting them,Giving more emphasis to community engagements,No
"Yes, I am happy to participate in this survey",,,PhD Scholar,Planning to seek information about ways to become more socially engaged in my community,"Equalized: Embrace Diversity, Empower Minds in Education","Equalized: Embrace Diversity, Empower Minds in Education",,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,"Attending the conference was a truly enriching experience, as I had the opportunity to engage with international delegates and exchange ideas on various aspects of education.","Absolutely, the conference has indeed inspired a greater sense of social commitment and responsibility. As a clinical psychologist, it reinforced my dedication to community-focused approaches. It made me more aware of the importance of collective efforts in addressing societal issues.","My experience networking with other Let Us Dream participants and speakers was truly rewarding. The speakers demonstrated profound expertise in their respective fields, and it was a valuable experience to gain diverse perspectives on topics related to education, health, and social issues.","To enhance the conference, it would be beneficial to focus on practical applications and open opportunities for students and scholars to present their research and insights. This would encourage a more hands-on and inclusive approach to learning and knowledge sharing.",NA
"Yes, I am happy to participate in this survey",,,PhD Research Scholar ,More strongly committed to my specific community service organization,"Equalized: Embrace Diversity, Empower Minds in Education","Equalized: Embrace Diversity, Empower Minds in Education",,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,"The power of collaboration, leadership, and learning from each other to build a better understanding of our communities, to evolve and strengthen connections.",Yes. ,Enriching and empowering.,It would be great to have a panel that focuses on research and research development.,NA
"Yes, I am happy to participate in this survey",,,Student,Planning to seek information about ways to become more socially engaged in my community,Storytellers of Change: Scripting A Resilient Story For Tomorrow,Storytellers of Change: Scripting A Resilient Story For Tomorrow,,Strongly agree,Neutral,Disagree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,It was enlightening.,Yes. The speaker’s life stories have motivated us that our dreams can be true. ,It was phenomenal. ,I found it satisfactory. ,No
"Yes, I am happy to participate in this survey",,,Community Social Service Provider/NGO,More strongly committed to my specific community service organization,"Equalized: Embrace Diversity, Empower Minds in Education","Equalized: Embrace Diversity, Empower Minds in Education",,Strongly agree,Strongly agree,Neutral,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Dream. Passion.. break down barriers ,"Yes, indeed. Community based involvement is the way forward ",Great team. Great speakers ,It is amazing. Perfect ,Wonderful event
"Yes, I am happy to participate in this survey",,,Student,More strongly committed to my specific community service organization,"Re-Imagining Global Education Policies, Reforms and Innovations","Re-Imagining Global Education Policies, Reforms and Innovations",,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Agree,collaborative service oriented education is the key to success ,I think of contributing something positively to the society than the personal gains,"superb, a variety of experts and service oriented people ",more interactive sessions,it's well arranged
"Yes, I am happy to participate in this survey",,,Student,More strongly committed to my specific community service organization,"Re-Imagining Global Education Policies, Reforms and Innovations","Re-Imagining Global Education Policies, Reforms and Innovations",,Agree,Strongly agree,Agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Neutral,It was spellbound ,i think i need to reach out more ,ok,better facilities ,no
"Yes, I am happy to participate in this survey",,,Educator,More strongly committed to my specific community service organization,Storytellers of Change: Scripting A Resilient Story For Tomorrow,Storytellers of Change: Scripting A Resilient Story For Tomorrow,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,We are empowered when we give back to society,Innovative ideas ,More motivated,It was great,Nil
"Yes, I am happy to participate in this survey",,,Student,Planning to seek information about ways to become more socially engaged in my community,Storytellers of Change: Scripting A Resilient Story For Tomorrow,Storytellers of Change: Scripting A Resilient Story For Tomorrow,,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,"I learned a lot from today's conference. The key takeaway would be to learn to take risks, as suggested by one of the panelists, Mr. Tarsh. Also, I got encouraged onto being more involved in community service, as well as, experiential learning.","It definitely has. After speaking personally to the panelists, and watching the presentation ""colours"" showed, I learnt a lot about the dire need of the society for socially committed people. I realized how wonderful it would be to work with these organisations for the upliftment of our nation as a whole.",I never thought I would have the chance to speak to such amazing personalities. It was my first time to stand up in the main auditorium and speak out my opinion and the best part was that the moderator in the panel discussion recognised me from that instance. My confidence was increased profoundly through networking.,I think providing more refreshments would be a good decision.,I totally loved day 1 and I am very excited for the next 2 days.
"Yes, I am happy to participate in this survey",,,Student,Going back to my community with the plan of calling others to community action,"Re-Imagining Global Education Policies, Reforms and Innovations, Equalized: Embrace Diversity, Empower Minds in Education, Storytellers of Change: Scripting A Resilient Story For Tomorrow","Re-Imagining Global Education Policies, Reforms and Innovations, Equalized: Embrace Diversity, Empower Minds in Education, Storytellers of Change: Scripting A Resilient Story For Tomorrow",,Strongly agree,Agree,Neutral,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Small steps by everyone with specific objectives can lead us to achieve sustainable development goals,Discussions from real world experiences inspired to be more socially committed.,Very good ,"Introducing paper presentations on the theme by students, scholars and professors.",No
"Yes, I am happy to participate in this survey",,,Student,More strongly committed to my specific community service organization,"Re-Imagining Global Education Policies, Reforms and Innovations","Re-Imagining Global Education Policies, Reforms and Innovations",,Strongly agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Be more responsible for the community around you. Explore yourself and contribute for the greater good,"Yes, I have been an active volunteer for multiple NGOs, and would be eager to contribute further through my research ",It was informative and representation gave everyone a voice,NIL,Nil
"Yes, I am happy to participate in this survey",,,Student,Planning to get involved within my community,Storytellers of Change: Scripting A Resilient Story For Tomorrow,Storytellers of Change: Scripting A Resilient Story For Tomorrow,,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Importance of inclusive education and impact of storytelling,"Yes, all of the difficulties faced due to inaccessibility motivated me to contribute to the community",Well spoken and humble panelists,"Better organization in terms of the directions, stalls ",No
"Yes, I am happy to participate in this survey",,,Student,More strongly committed to my specific community service organization,Storytellers of Change: Scripting A Resilient Story For Tomorrow,Storytellers of Change: Scripting A Resilient Story For Tomorrow,,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Education is a life long accompaniment. ,Experiential learning will be the part where i am more concentrating to bring up.,"They had been so approachable, i would like to hear more about them. ",Time schedules have to be kept as it is and there could be group building session to interact with the panelist or the delegates. ,no.
"Yes, I am happy to participate in this survey",,,Student,More strongly committed to my specific community service organization,"Re-Imagining Global Education Policies, Reforms and Innovations","Re-Imagining Global Education Policies, Reforms and Innovations",,Neutral,Agree,Agree,Neutral,Agree,Neutral,Neutral,Strongly agree,The education conference has taught how to think from different perspective of students and teachers. How the marks system in indian society is everything for parents in general terms. ,I have thought that education should not be something short term but a long term process where each and every individual can learn and nurture the concepts. ,They were terrific. I had a different perspective and view. It transformative my knowledge which opened new horizons for education ," The panel I was in, I wanted it to be more broad, more about global policies and education. ",I will be happy enough to organize or attend more LUD conferences. 
"Yes, I am happy to participate in this survey",,,Student,Planning to seek information about ways to become more socially engaged in my community,"Re-Imagining Global Education Policies, Reforms and Innovations","Re-Imagining Global Education Policies, Reforms and Innovations",-,Agree,Agree,Agree,Neutral,Neutral,Disagree,Neutral,Agree,"Having attended the Panel along with the immersive learning session, I actually got various diverse insights as to how education and its policy formulation is a problem not only in India but all across the globe. ","Having gotten insights from all over the world, and having identified the problems that the world faces altogether in the arena of education and its formulation policy, a grass root level of enrichment of policy is a dire need. ",It was actually enriching. Having participants and volunteers from not only all around India but from across the globe. ,We can organise proper hospitality facilities to help the participants set a smooth sail overall. ,Would be happy to attend another annual/triennial conference again
"Yes, I am happy to participate in this survey",,,Student,Planning to get involved within my community,"Re-Imagining Global Education Policies, Reforms and Innovations","Re-Imagining Global Education Policies, Reforms and Innovations",,Strongly agree,Strongly agree,Agree,Neutral,Strongly agree,Agree,Neutral,Agree,My key takeaways are that first we should redesign the thinking of the people than work on our policies ,"Yes, I would now like to get into more community engagement work.",Today I met many like many people from different cultures and many different ideologies and it was indeed a great experience ,"By making more communications, being a participant I received very less communications from the organizers and many things that were written in the guidelines were not followed.","It was indeed great, only suggestion would be if better communication can be done"
"Yes, I am happy to participate in this survey",,,Student,Planning to seek information about ways to become more socially engaged in my community,"Equalized: Embrace Diversity, Empower Minds in Education","Equalized: Embrace Diversity, Empower Minds in Education",,Strongly agree,Agree,Disagree,Disagree,Strongly agree,Strongly agree,Agree,Strongly agree,From the context of the panel i attended i learnt a lot more about equity and inclusion. Overall i also learned multiple new things and perspectives from different people around the world. ,yes. i think if not very very inspiring i did feel like i should be more involved socially and volunteer for things i get opportunities for. ,"Very engaging speakers, didn’t make the sessions boring. ",everything apart from time management was well done. i think it would’ve been great if it went along with the time given in the itinerary. ,none 
"Yes, I am happy to participate in this survey",,,Student,More strongly committed to my specific community service organization,"Equalized: Embrace Diversity, Empower Minds in Education","Equalized: Embrace Diversity, Empower Minds in Education",,Agree,Agree,Agree,Neutral,Agree,Strongly agree,Strongly agree,Agree,What inclusion really means and how we can truly bring inclusion within our society by understanding their needs.,Understanding what we can contribute as individuals and through connecting with others.,An educational experience.,No comments.,None
"Yes, I am happy to participate in this survey",,,Student,Processing what I heard today and uncertain of my next step,"Re-Imagining Global Education Policies, Reforms and Innovations","Re-Imagining Global Education Policies, Reforms and Innovations",,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Agree,Education can lead to change ,Yes,It's nice experience ,I like this conference ,No
"Yes, I am happy to participate in this survey",,,Leaturer ,More strongly committed to my specific community service organization,Storytellers of Change: Scripting A Resilient Story For Tomorrow,Storytellers of Change: Scripting A Resilient Story For Tomorrow,,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Recreating esucation,Yes,Good,It's good,No
"Yes, I am happy to participate in this survey",,,Student,Planning to get involved within my community,Storytellers of Change: Scripting A Resilient Story For Tomorrow,Storytellers of Change: Scripting A Resilient Story For Tomorrow,,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,To be more responsible ,Yes.,It was a memorable experience ,It is good ,No
"Yes, I am happy to participate in this survey",,,Student,More strongly committed to my specific community service organization,"Re-Imagining Global Education Policies, Reforms and Innovations","Re-Imagining Global Education Policies, Reforms and Innovations",,Strongly agree,Neutral,Neutral,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,"Through the Panel discussion many things were added to my knowledge on the topic. 
* Its a field where Consumers is blamed for faults
* Policies change due to political climate

Even my doubts were cleared on the question I raised,
What strategies and policies can governments and educational institutions implement to ensure a balanced approach to education and sports, fostering both academic excellence and physical well-being for students worldwide? Because the problem is not that we don’t have policies but the problem i do feel is in its implementation.","Yes it has!, I became aware that there are less privileged students around me that i have to work for their upliftment as well. 
And Education is not just for ranks its for our self growth and development as well.","I met students of CHRIST Bangalore, Jyothi Nivas College Bangalore and Students from Grambling State University Louisiana through the workshop conducted. Had a chance to build good connections and which even led Fr Lijo to create the LUD Club with all three campuses of CHRIST Lavasa along with Jyothi Nivas and Grambling State University.",Organising Committee could have given us with Books and pen to note ,None
"Yes, I am happy to participate in this survey",,,Student,Planning to get involved within my community,"Re-Imagining Global Education Policies, Reforms and Innovations","Re-Imagining Global Education Policies, Reforms and Innovations",,Strongly agree,Neutral,Strongly agree,Agree,Strongly agree,Agree,Agree,Agree,The conference was wonderful. It was very knowledgeable and I found myself being very interested throughout the panel discussion and I enjoyed,Yes. I understood how education can be pose a big prblm. It also gave me an insight on how not only development even implementation of policy is important ,It was fun and amazing,It went well,Ntg
"Yes, I am happy to participate in this survey",,,Student,Processing what I heard today and uncertain of my next step,Storytellers of Change: Scripting A Resilient Story For Tomorrow,Storytellers of Change: Scripting A Resilient Story For Tomorrow,,Agree,Neutral,Neutral,Neutral,Agree,Agree,Agree,Neutral,Dream should come true with taking action and make possible way to other dreams also comes true.,"Yes, this conference inspired me alot.",Not only speakers they are the achivers and role model ,Good,No
"Yes, I am happy to participate in this survey",,,Student,Planning to seek information about ways to become more socially engaged in my community,"Equalized: Embrace Diversity, Empower Minds in Education","Equalized: Embrace Diversity, Empower Minds in Education",,Agree,Agree,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Diverse forms of educating and learning and the importance of having diversity in learning modules,Yes...personal experiences of speakers made me realise the potential of education and grass root learning,Didn't get much of time to network.,Please.mention the venue and timing to participants who have registered. ,Nil
"Yes, I am happy to participate in this survey",,,Student,Planning to seek information about ways to become more socially engaged in my community,"Re-Imagining Global Education Policies, Reforms and Innovations","Re-Imagining Global Education Policies, Reforms and Innovations",,Agree,Agree,Agree,Neutral,Agree,Strongly agree,Agree,Agree,"The key takeaways
The drastic change in the polices from late 90s to now nd how to socially involve wid my organisation nd also to volunteer thr upcoming conferences ",Yes it has totally inspired me and helped me to more socially commit wid organisation ,The networking with other LUD participants was good and inspiring ,The conference can be improved with more booming and upgraded topics,No
"Yes, I am happy to participate in this survey",,,"Student, Research Scholar",Planning to get involved within my community,"Re-Imagining Global Education Policies, Reforms and Innovations","Re-Imagining Global Education Policies, Reforms and Innovations",,Agree,Neutral,Disagree,Strongly disagree,Neutral,Agree,Agree,Agree,"Many countries are emphasizing inclusive education policies that aim to provide quality education to all, including marginalized groups, students with disabilities, and those from diverse backgrounds."," Yes, the conference has significantly inspired me to be more socially committed and responsible. The discussions on various social issues and the collective efforts highlighted at the event have encouraged me to take more active roles in addressing societal challenges",My experience with networking at the conference in was insightful. Engaging with fellow participants and speakers allowed for meaningful discussions and the exchange of diverse perspectives. It was a great opportunity to establish new contacts and potentially foster future collaborations.,Giving prior information is good for the preparation for attending the conference.,No
"Yes, I am happy to participate in this survey",,,Student,Planning to get involved within my community,"Re-Imagining Global Education Policies, Reforms and Innovations","Re-Imagining Global Education Policies, Reforms and Innovations",,Strongly agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Commitment towards my community ,Yes,Good,No suggestions ,No
"Yes, I am happy to participate in this survey",,,Student,Planning to get involved within my community,Storytellers of Change: Scripting A Resilient Story For Tomorrow,Storytellers of Change: Scripting A Resilient Story For Tomorrow,,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,"Insights of student's engagement in community services, updates and improvement on educational policies & chance to learn from expert panelists. ","Yes, it has inspired and motivated me to foster social commitment and responsibility  in creating diversity in learning environment, inclusive educational system and address the need of all students regardless of background or ability.","Networking with other LUD participants & speakers provided an opportunity to connect with like-minded individuals, exchange ideas and build relationship with educators, speakers and experts in the field of education.",Can be improved with more interactive sessions and hands on activities to encourage active participation and practical learning.,Can incorporate more interactive & engaging technological tools or platforms for discussions and presentations.
"Yes, I am happy to participate in this survey",,,Student,Planning to seek information about ways to become more socially engaged in my community,"Equalized: Embrace Diversity, Empower Minds in Education","Equalized: Embrace Diversity, Empower Minds in Education",,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Agree,That we should do more for the society and try to engage more ,Yes,It was very good,It was good so i guess no such suggestions ,No
"Yes, I am happy to participate in this survey",,,Student,Planning to seek information about ways to become more socially engaged in my community,"Re-Imagining Global Education Policies, Reforms and Innovations, Equalized: Embrace Diversity, Empower Minds in Education","Re-Imagining Global Education Policies, Reforms and Innovations, Equalized: Embrace Diversity, Empower Minds in Education",,Agree,Strongly agree,Agree,Agree,Agree,Agree,Neutral,Agree,"1. How to organize an event perfectly.
2. Learned how to enhance societal unity and harmony.
3. Better understanding of ourselves.","Yes, because it widened my perspectives about the outside world and the person sitting next to me.",Today I met a speaker and talk to me very openly that was a great experience for me.,"1. Participation more audience.
2. More activity based sessions.
3. The sessions will be more live if they are able to speak from their experience. ","Overall, today's session was very nice and expecting more on the coming days."
"Yes, I am happy to participate in this survey",,,Student,Processing what I heard today and uncertain of my next step,"Re-Imagining Global Education Policies, Reforms and Innovations, Equalized: Embrace Diversity, Empower Minds in Education, Storytellers of Change: Scripting A Resilient Story For Tomorrow","Re-Imagining Global Education Policies, Reforms and Innovations, Equalized: Embrace Diversity, Empower Minds in Education, Storytellers of Change: Scripting A Resilient Story For Tomorrow",,Agree,Neutral,Neutral,Neutral,Strongly agree,Strongly agree,Agree,Agree,Was very informative. ,Yes. ,Was good ,Very informative,No
"Yes, I am happy to participate in this survey",,,Student,Planning to seek information about ways to become more socially engaged in my community,Storytellers of Change: Scripting A Resilient Story For Tomorrow,Storytellers of Change: Scripting A Resilient Story For Tomorrow,,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,"Education is diverse and vivid. The education systems try to give knowlegde, but generally lack inclusiveness. The Let Us Dream conference speaks about how changes can be brought into education world. It talked about the avoidence and mistakes in education. But it also talked about the importance of acquiring knowledge from different parts of the world. The knowledge and experience differ from person to person.","Yes, the amazing experiences and stories by the guest have inspired to be out there. See the problem around me with open eyes and speak openly about it. I have understood that my story have to be made by myself and I have hard work to achieve this goal",Its really cool and inspiring. They all had there own knowledge and experiences to share and its was really heart whelming. I look forward for more interactions in the upcoming days and in future,Increasing the time of the speakers so that it helps both them and participates interact and views and ideas,No
"Yes, I am happy to participate in this survey",,,Student,Going back to my community with the plan of calling others to community action,"Re-Imagining Global Education Policies, Reforms and Innovations","Re-Imagining Global Education Policies, Reforms and Innovations",,Strongly agree,Agree,Agree,Neutral,Agree,Strongly agree,Neutral,Agree,Education is a phenomenon which can be improved by expanding to outside of the four walls of the classroom,"Yes, the experiences that they shared made me think that I could have been part of more and more people's lives,helping them in their needs.",It was fun. They were super interactive and nice and listened to what we wanted to say.,Bringing in opinions from more audiences can improve the conference drastically.,It was a great conference. Very much enjoyed all the aspects of it.
"Yes, I am happy to participate in this survey",,,"Educator, Student",Planning to seek information about ways to become more socially engaged in my community,"Re-Imagining Global Education Policies, Reforms and Innovations","Re-Imagining Global Education Policies, Reforms and Innovations",,Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Neutral,The key takeaways are I have been very much inspired and motivated to attend much more conferences ,"Yes,it indeed helped me to socially commit with others",It was truly good and inspiring ,It could improve by bringing up much more interesting topics,No
"Yes, I am happy to participate in this survey",,,Student,More strongly committed to my specific community service organization,"Re-Imagining Global Education Policies, Reforms and Innovations","Re-Imagining Global Education Policies, Reforms and Innovations",,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,.,Yes. It got me to reflect and think about a lot of responsibilities ,It was a good experience networking with new people.  ,None,No
"Yes, I am happy to participate in this survey",,,Student,Planning to get involved within my community,"Re-Imagining Global Education Policies, Reforms and Innovations","Re-Imagining Global Education Policies, Reforms and Innovations",,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Good,Yes,Good ,Nice,No
"No, I do not wish to participate",,,.,,,,,,,,,,,,,,,.,,
"Yes, I am happy to participate in this survey",,,Student,Planning to get involved within my community,"Re-Imagining Global Education Policies, Reforms and Innovations","Re-Imagining Global Education Policies, Reforms and Innovations",,Agree,Agree,Neutral,Agree,Agree,Agree,Neutral,Agree,Yes,Yes. ,Good experience ,It's more informative,No
"No, I do not wish to participate",,,.,,,,,,,,,,,,,,,.,,
"Yes, I am happy to participate in this survey",,,Educator,Planning to seek information about ways to become more socially engaged in my community,"Re-Imagining Global Education Policies, Reforms and Innovations","Re-Imagining Global Education Policies, Reforms and Innovations",Nothing ,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Views of students about teaching ,Yes,Good,Need to be more interactive ,Nothing 
"Yes, I am happy to participate in this survey",,,Student,Planning to seek information about ways to become more socially engaged in my community,"Re-Imagining Global Education Policies, Reforms and Innovations","Re-Imagining Global Education Policies, Reforms and Innovations",,Agree,Neutral,Neutral,Neutral,Agree,Agree,Agree,Neutral,It was a very good conference ,Yes,Good,- ,-
"Yes, I am happy to participate in this survey",,,Student,Planning to get involved within my community,"Equalized: Embrace Diversity, Empower Minds in Education","Equalized: Embrace Diversity, Empower Minds in Education",,Agree,Agree,Neutral,Neutral,Agree,Agree,Agree,Agree,To dream and take part in change,"Yes, I'm inspired to connect with diverse groups",It was enlightening,Nil,Nil
"Yes, I am happy to participate in this survey",,,Student,Going back to my community with the plan of calling others to community action,"Re-Imagining Global Education Policies, Reforms and Innovations, Equalized: Embrace Diversity, Empower Minds in Education, Storytellers of Change: Scripting A Resilient Story For Tomorrow","Re-Imagining Global Education Policies, Reforms and Innovations, Equalized: Embrace Diversity, Empower Minds in Education, Storytellers of Change: Scripting A Resilient Story For Tomorrow",,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,"Wisdom, Knowledge ","Yes, after hearing all the speaker's speach and getting the knowledge.",It was Wonderful ,It was already better than ever.,It was amazing overall 
"Yes, I am happy to participate in this survey",,,Student,Planning to seek information about ways to become more socially engaged in my community,Storytellers of Change: Scripting A Resilient Story For Tomorrow,Storytellers of Change: Scripting A Resilient Story For Tomorrow,,Agree,Neutral,Neutral,Neutral,Strongly agree,Strongly agree,Strongly agree,Agree,Got to know about some problems faced by first generation children that are going to school facilities and how we could collectively as a community support them in continuing their endeavor.,"Yes, it indeed has motivated me to be more outgoing and understanding of a personality so that we could motivate those who are feeling low and to include everyone irrespective of their backgrounds in such a way that they feel valued.",I could really connect with the words of Ms. Tasqeen as she mentioned more about the first generation learners and while interacting with other participants I could see that it was kinda new insight for them whereas I myself represent a first generation learner. It gave a valuable time discussing some of my experiences with others.,I think the section was too short maybe it could have been a 2 hour section.,It was a good exposure to be a part of this conference.
"Yes, I am happy to participate in this survey",,,"Student, Volunteer",More strongly committed to my specific community service organization,Storytellers of Change: Scripting A Resilient Story For Tomorrow,Storytellers of Change: Scripting A Resilient Story For Tomorrow,,Strongly agree,Agree,Agree,Agree,Strongly agree,Agree,Neutral,Agree,"One should keep trying to achieve anything, despite of expecting only success.","The story tellers of Change had gone through many struggles but now they achieved their targets through commitments, this is the main point that inspired me.",very good ,May be by even more interaction ,The let us dream conference was just fentastic 
"Yes, I am happy to participate in this survey",,,Research Scholar ,Planning to get involved within my community,"Equalized: Embrace Diversity, Empower Minds in Education","Equalized: Embrace Diversity, Empower Minds in Education",,Agree,Agree,Agree,Agree,Agree,Strongly agree,Neutral,Disagree,Yes,Not much,Yes,Need to specific ,No
"Yes, I am happy to participate in this survey",,,Delegate,Planning to get involved within my community,"Re-Imagining Global Education Policies, Reforms and Innovations","Re-Imagining Global Education Policies, Reforms and Innovations",,Agree,Neutral,Disagree,Disagree,Strongly agree,Agree,Agree,Strongly agree,Small steps are a good.start.,I need to search for connections and opportunities.,None,No idea.,No
"Yes, I am happy to participate in this survey",,,University Faculty or Staff,More strongly committed to my specific community service organization,"Re-Imagining Global Education Policies, Reforms and Innovations","Re-Imagining Global Education Policies, Reforms and Innovations",,Agree,Agree,Neutral,Agree,Agree,Strongly agree,Strongly agree,Agree,There is need to assess outcomes and not only inputs; learners need to be at the center of education. ,"Yes, for me to continue supporting similar initiatives back home. ",The participants are genuine and honest in their expressions. Speakers and delegates are very generous in sharing their initiatives and programs. ,Nothing specific,None. Thanks
"Yes, I am happy to participate in this survey",,,Student,Planning to seek information about ways to become more socially engaged in my community,"Re-Imagining Global Education Policies, Reforms and Innovations","Re-Imagining Global Education Policies, Reforms and Innovations",,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Neutral,Strongly agree,"Re imagining education models,volunteering ",Yes,Great,planning could be better,No
"Yes, I am happy to participate in this survey",,,Student,Going back to my community with the plan of calling others to community action,"Re-Imagining Global Education Policies, Reforms and Innovations","Re-Imagining Global Education Policies, Reforms and Innovations",,Strongly agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Sustainable Societies through Education ,Yes through SDGs,Happy ,More Participants from other universities,Elegant 
"Yes, I am happy to participate in this survey",,,Student,Going back to my community with the plan of calling others to community action,"Re-Imagining Global Education Policies, Reforms and Innovations, Equalized: Embrace Diversity, Empower Minds in Education, Storytellers of Change: Scripting A Resilient Story For Tomorrow","Re-Imagining Global Education Policies, Reforms and Innovations, Equalized: Embrace Diversity, Empower Minds in Education, Storytellers of Change: Scripting A Resilient Story For Tomorrow",None,Agree,Neutral,Agree,Neutral,Agree,Agree,Agree,Agree,Media is an inportant source through which one can elaborate further upon one's need for education. ,Yes it has,It was engaging,Hopsitality couldve been improved,I would love to be a part of the upcoming LUD Conferences
"Yes, I am happy to participate in this survey",,,Student,Processing what I heard today and uncertain of my next step,"Equalized: Embrace Diversity, Empower Minds in Education","Equalized: Embrace Diversity, Empower Minds in Education",,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Disagree,Rising fly,Not much,Yes,Need to be relavant,No 
"Yes, I am happy to participate in this survey",,,PhD Research Scholar ,Planning to seek information about ways to become more socially engaged in my community,Storytellers of Change: Scripting A Resilient Story For Tomorrow,Storytellers of Change: Scripting A Resilient Story For Tomorrow,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,To be more committed ,It helped me to  gain my confidence level ,Great ,Good planning ,Hats off 
"Yes, I am happy to participate in this survey",,,PhD Scholar,More strongly committed to my specific community service organization,Storytellers of Change: Scripting A Resilient Story For Tomorrow,Storytellers of Change: Scripting A Resilient Story For Tomorrow,,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,,Agree,Increased knowledge ,Yes,Good ,Well- planning,Overall good
